active,timestamp,engine_max_rpm,engine_idle_rpm,engine_current_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,yaw,pitch,roll,suspension_travel_ratio_FL,suspension_travel_ratio_FR,suspension_travel_ratio_RL,suspension_travel_ratio_RR,wheel_slip_ratio_FL,wheel_slip_ratio_FR,wheel_slip_ratio_RL,wheel_slip_ratio_RR,wheel_rotation_speed_FL,wheel_rotation_speed_FR,wheel_rotation_speed_RL,wheel_rotation_speed_RR,wheel_on_rumble_strip_FL,wheel_on_rumble_strip_FR,wheel_on_rumble_strip_RL,wheel_on_rumble_strip_RR,wheel_puddle_depth_FL,wheel_puddle_depth_FR,wheel_puddle_depth_RL,wheel_puddle_depth_RR,surface_rumble_FL,surface_rumble_FR,surface_rumble_RL,surface_rumble_RR,wheel_slip_angle_FL,wheel_slip_angle_FR,wheel_slip_angle_RL,wheel_slip_angle_RR,wheel_combined_slip_FL,wheel_combined_slip_FR,wheel_combined_slip_RL,wheel_combined_slip_RR,suspension_travel_FL,suspension_travel_FR,suspension_travel_RL,suspension_travel_RR,car_ordinal_id,car_class_id,car_performance_index,car_drivetrain_id,car_num_cylinders,position_x,position_y,position_z,speed,power,torque,tire_temp_FL,tire_temp_FR,tire_temp_RL,tire_temp_RR,boost,fuel,dist_traveled,lap_time_best,lap_time_last,lap_time_current,race_time,lap_num,race_position,throttle,brake,clutch,handbrake,gear_num,steering_angle,driving_line,ai_brake_diff,tire_wear_FL,tire_wear_FR,tire_wear_RL,tire_wear_RR,track_id
1,1082937,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.65,31.22,31.91,31.91,-11.025,0.9979,528.4749,0.0,0.0,606.4893,771.3528,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1082953,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.65,31.22,31.91,31.91,-11.025,0.9979,528.4749,0.0,0.0,606.506,771.3695,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1082968,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.65,31.22,31.91,31.91,-11.025,0.9979,528.4749,0.0,0.0,606.5226,771.3862,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1082984,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.65,31.21,31.91,31.91,-11.025,0.9979,528.4749,0.0,0.0,606.5393,771.4028,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083015,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.65,31.21,31.91,31.91,-11.025,0.9979,528.4749,0.0,0.0,606.556,771.4195,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083031,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.65,31.21,31.91,31.91,-11.025,0.9979,528.4749,0.0,0.0,606.5726,771.4362,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083046,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.64,31.21,31.9,31.9,-11.025,0.9979,528.4749,0.0,0.0,606.5894,771.4528,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083062,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.64,31.21,31.9,31.9,-11.025,0.9979,528.4749,0.0,0.0,606.606,771.4695,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083078,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.64,31.21,31.9,31.9,-11.025,0.9979,528.4749,0.0,0.0,606.6227,771.4861,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083093,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.64,31.21,31.9,31.9,-11.025,0.9979,528.4749,0.0,0.0,606.6393,771.5028,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083109,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.64,31.2,31.9,31.9,-11.025,0.9979,528.4749,0.0,0.0,606.656,771.5195,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083125,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.64,31.2,31.9,31.9,-11.025,0.9979,528.4749,0.0,0.0,606.6727,771.5361,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
1,1083140,8499.9951,799.9995,800.0174,0.0,-0.0,-0.0,0.0,0.0002,0.0,-0.0002,-0.0,0.0002,-0.9551,0.0155,0.0109,0.4031,0.4002,0.3982,0.3958,-0.0,0.0,0.0,-0.0,0.0002,0.0003,0.0002,0.0003,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0002,-0.0002,0.0001,0.0001,0.0002,0.0002,0.0012,0.001,0.0018,0.0017,3620,4,700,1,6,-337.1286,-20.6969,-190.1068,0,0,0,31.63,31.2,31.9,31.9,-11.025,0.9979,528.4749,0.0,0.0,606.6893,771.5528,0,1,0,0,0,0,1,0,19,0,0.0008,0.0008,0.0013,0.0013,113
